Year,CO2  Emissions
1990,19.40733586
1991,19.00338958
1992,19.02284515
1993,19.21833148
1994,19.25618525
1995,19.216897
1996,19.57536656
1997,20.33085305
1998,20.26628688
1999,20.10112278
2000,20.46979674
2001,20.17153693
2002,19.44553028
2003,19.50650553
2004,19.59761671
2005,19.46927252
2006,18.94591684
2007,19.04291178
2008,18.27849126
2009,16.80868142
2010,17.43173699
2011,16.60418962
2012,15.78976015
2013,16.11117526
2014,16.04091676
2015,15.56001544
2016,15.14988272
2017,14.82324544
2018,15.2225181
2019,14.67338071
2020,13.03282795
