Year 1/,Total crops harvested (million acres),Double cropped (million acres),Cropland harvested (million acres),Crop failure (million acres),Cultivated summer fallow (million acres),Total cropland used for crops (million acres)
1990,322,12,310,6,25,341
1991,318,12,306,7,24,337
1992,319,14,305,8,24,337
1993,308,11,297,11,22,330
1994,321,11,310,7,22,339
1995,314,12,302,8,22,332
1996,326,12,314,10,22,346
1997,333,12,321,7,21,349
1998,326,11,315,10,20,345
1999,327,11,316,8,20,344
2000,325,11,314,11,20,345
2001,321,10,311,10,19,340
2002,316,9,307,17,16,340
2003,324,8,316,10,16,342
2004,321,9,312,9,15,336
2005,321,7,314,7,16,336
2006,312,9,303,11,15,330
2007,322,10,312,8,15,335
2008,327,12,315,9,14,337
2009,319,10,310,8,15,333
2010,322,7,315,5,14,335
2011,311,10,302,13,14,328
2012,324,9,315,11,13,340
2013,321,10,311,12,13,336
2014,325,8,318,10,14,341
2015,323,7,316,7,13,337
2016,323,6,317,7,12,336
2017,320,6,314,9,15,338
2018,317,6,311,11,16,338
2019,303,5,298,11,15,323
2020,310,6,304,11,14,329
2021,317,6,311,10,15,336
