Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1990,1990,t,10176270.53,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1990,1990,t,3863049.99,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1990,1990,t,4610215.01,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1991,1991,t,10336355.8,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1991,1991,t,3820176,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1991,1991,t,4559103.69,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1992,1992,t,10351344.46,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1992,1992,t,3944951.47,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1992,1992,t,4627687.56,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1993,1993,t,11095165.56,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1993,1993,t,4070488.98,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1993,1993,t,4732958.36,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1994,1994,t,10907664.88,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1994,1994,t,4049097.34,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1994,1994,t,4703147.96,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1995,1995,t,10986467.39,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1995,1995,t,4069944.66,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1995,1995,t,4722725.21,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1996,1996,t,11191172.09,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1996,1996,t,4153134.36,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1996,1996,t,4860473.56,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1997,1997,t,11181742.72,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1997,1997,t,4185702.62,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1997,1997,t,4853687.74,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1998,1998,t,11254586.77,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1998,1998,t,3985521.18,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1998,1998,t,4619776.83,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),1999,1999,t,11224506.03,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),1999,1999,t,3888560.28,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),1999,1999,t,4503637.85,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2000,2000,t,10703440.99,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2000,2000,t,3882645.38,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2000,2000,t,4485439.54,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2001,2001,t,10752682.57,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2001,2001,t,4065027.67,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2001,2001,t,4499138.17,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2002,2002,t,10969768.11,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2002,2002,t,3892275.96,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2002,2002,t,4490927.14,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2003,2003,t,11818620.83,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2003,2003,t,4376712.59,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2003,2003,t,5007750.26,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2004,2004,t,11191484.05,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2004,2004,t,4207522.64,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2004,2004,t,4693229.33,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2005,2005,t,10925951.09,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2005,2005,t,4062917.4,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2005,2005,t,4284542.62,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2006,2006,t,11969757.81,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2006,2006,t,4147376.29,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2006,2006,t,4656851.22,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2007,2007,t,11395419.17,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2007,2007,t,3852722.7,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2007,2007,t,4227208.55,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2008,2008,t,10397606.72,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2008,2008,t,2846292,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2008,2008,t,2794582.47,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2009,2009,t,11097590.44,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2009,2009,t,3775158.41,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2009,2009,t,4045862.33,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2010,2010,t,11624755.46,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2010,2010,t,3896449.01,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2010,2010,t,4146106.23,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2011,2011,t,12231299.15,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2011,2011,t,3945618.42,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2011,2011,t,4185750.21,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2012,2012,t,12249079.97,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2012,2012,t,4261953.72,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2012,2012,t,4399120.05,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2013,2013,t,12060839.15,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2013,2013,t,4258869.29,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2013,2013,t,4766348.41,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2014,2014,t,11802200.79,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2014,2014,t,3870503.52,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2014,2014,t,4304137.81,A,Official figure,Official data collected from national publication
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2015,2015,t,11829381,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2015,2015,t,3944392,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2015,2015,t,4437563,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2016,2016,t,11644828.99,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2016,2016,t,3948543.95,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2016,2016,t,4498031.39,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2017,2017,t,11581692.82,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2017,2017,t,4009797.7,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2017,2017,t,4554114.13,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2018,2018,t,11891321.78,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3103,Nutrient phosphate P2O5 (total),2018,2018,t,4031751.79,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3104,Nutrient potash K2O (total),2018,2018,t,4449351.36,A,Official figure,Official data from questionnaire
RFN,Fertilizers by Nutrient,231,United States of America,5157,Agricultural Use,3102,Nutrient nitrogen N (total),2019,2019,t,11938558.47,A,Official figure,Official data from questionnaire
