Item,Year,Unit,Value,Flag,Flag Description,Note
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2001,1000 I$,14.4,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2002,1000 I$,10.1,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2003,1000 I$,20.8,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2004,1000 I$,20.7,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2005,1000 I$,27.1,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2006,1000 I$,24.6,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2007,1000 I$,27.9,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2008,1000 I$,26,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2009,1000 I$,26.1,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2010,1000 I$,23.2,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2011,1000 I$,22.8,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2012,1000 I$,18.6,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2013,1000 I$,27.8,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2014,1000 I$,25.2,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2015,1000 I$,21,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2016,1000 I$,19.8,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2017,1000 I$,35.8,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2018,1000 I$,26.5,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2019,1000 I$,25.6,E,Estimated value,
Per capita food production variability (constant 2014-2016 thousand int$ per capita),2020,1000 I$,34.9,E,Estimated value,
