Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2010,2010,ha,311608,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2010,2010,100 g/ha,45371,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2010,2010,t,1413800,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2011,2011,ha,323749,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2011,2011,100 g/ha,56883,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2011,2011,t,1841587,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2012,2012,ha,331854,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2012,2012,100 g/ha,49871,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2012,2012,t,1655000,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2013,2013,ha,343983,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2013,2013,100 g/ha,50375,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2013,2013,t,1732800,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2014,2014,ha,352077,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2014,2014,100 g/ha,43897,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2014,2014,t,1545500,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2015,2015,ha,372311,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2015,2015,100 g/ha,38580,E,Estimated value,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2015,2015,t,1436383,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2016,2016,ha,392550,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2016,2016,100 g/ha,41213,E,Estimated value,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2016,2016,t,1617816,X,Figure from international organizations,Unofficial figure
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2017,2017,ha,416830,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2017,2017,100 g/ha,41188,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2017,2017,t,1716850,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2018,2018,ha,441110,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2018,2018,100 g/ha,39024,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2018,2018,t,1721380,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2019,2019,ha,477530,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2019,2019,100 g/ha,40064,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2019,2019,t,1913160,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2020,2020,ha,505863,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2020,2020,100 g/ha,46358,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2020,2020,t,2345070,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1371,"Almonds, in shell",2021,2021,ha,534191,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1371,"Almonds, in shell",2021,2021,100 g/ha,40979,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1371,"Almonds, in shell",2021,2021,t,2189040,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2010,2010,ha,136217,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2010,2010,100 g/ha,309087,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2010,2010,t,4210290,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2011,2011,ha,133870,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2011,2011,100 g/ha,319842,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2011,2011,t,4281731,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2012,2012,ha,131604,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2012,2012,100 g/ha,309933,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2012,2012,t,4078839,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2013,2013,ha,130661,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2013,2013,100 g/ha,362135,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2013,2013,t,4731694,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2014,2014,ha,128763,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2014,2014,100 g/ha,416171,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2014,2014,t,5358740,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2015,2015,ha,131030,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2015,2015,100 g/ha,347767,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2015,2015,t,4556790,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2016,2016,ha,133060,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2016,2016,100 g/ha,391856,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2016,2016,t,5214040,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2017,2017,ha,132820,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2017,2017,100 g/ha,394569,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2017,2017,t,5240670,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2018,2018,ha,117600,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2018,2018,100 g/ha,394965,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2018,2018,t,4644790,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2019,2019,ha,119301,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2019,2019,100 g/ha,421498,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2019,2019,t,5028526.46,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2020,2020,ha,119707,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2020,2020,100 g/ha,389718,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2020,2020,t,4665199,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1341,Apples,2021,2021,ha,117441,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1341,Apples,2021,2021,100 g/ha,380379,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5510,Production,1341,Apples,2021,2021,t,4467206,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5312,Area harvested,1343,Apricots,2010,2010,ha,4917,A,Official figure,
QCL,Crops and livestock products,840,United States of America,5419,Yield,1343,Apricots,2010,2010,100 g/ha,122471,A,Official figure,
