Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2000","2000","100 g/ha","26342","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2001","2001","100 g/ha","28402","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2002","2002","100 g/ha","36275","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2003","2003","100 g/ha","35325","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2004","2004","100 g/ha","34074","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2005","2005","100 g/ha","29969","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2006","2006","100 g/ha","36049","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2007","2007","100 g/ha","46830","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2008","2008","100 g/ha","51238","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2009","2009","100 g/ha","39887","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2010","2010","100 g/ha","45371","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2011","2011","100 g/ha","56883","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2012","2012","100 g/ha","49871","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2013","2013","100 g/ha","50375","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2014","2014","100 g/ha","43897","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2015","2015","100 g/ha","38580","E","Estimated value",""
