Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2000,2000,I$,50175.7,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2001,2001,I$,50155.7,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2002,2002,I$,50535.3,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2003,2003,I$,51503.8,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2004,2004,I$,52995.2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2005,2005,I$,54338,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2006,2006,I$,55314.2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2007,2007,I$,55892.2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2008,2008,I$,55433.7,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2009,2009,I$,53521.2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2010,2010,I$,54516.9,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2011,2011,I$,54960.9,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2012,2012,I$,55803.5,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2013,2013,I$,56438.9,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2014,2014,I$,57308.3,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2015,2015,I$,58427.6,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2016,2016,I$,58972.9,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2017,2017,I$,59914.8,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2018,2018,I$,61355.6,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2019,2019,I$,62478.3,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,60167.9,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6126,Value,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2021,2021,I$,63669.7,X,Figure from international organizations
