,Data.ID,Location,Level,Nation.code,State.code,County.code,Crop,Qualifier,Crop.name.in.original.data,Plant.start,Plant.start.date,Plant.end,Plant.end.date,Plant.median,Plant.range,Harvest.start,Harvest.start.date,Harvest.end,Harvest.end.date,Harvest.median,Harvest.range,Source,Notes,X,full.crop.name,location.code,tot.days,lat.avg,lon.avg,harvested.area,tmin.day.avg,temp.average,precip.average,temp.min,precip.min,temp.max,precip.max,temp.min.month,precip.min.month,temp.max.month,precip.max.month,temp.at.planting,precip.at.planting,sunfrac.at.planting,daylength.at.planting,dsw.at.planting,precip.over.pet.min,precip.over.pet.min.day,precip.over.pet.max,precip.over.pet.max.day,precip.over.pet.at.planting,apr.to.sept.temp.anomaly,apr.to.sept.precip.frac,gdd.base.0.between.plant.and.harvest,gdd.base.4.between.plant.and.harvest,gdd.base.5.between.plant.and.harvest,gdd.base.8.between.plant.and.harvest,gdd.base.10.between.plant.and.harvest,gdd.base.0,gdd.base.4,gdd.base.5,gdd.base.8,gdd.base.10,gdd.base.0.from.plant.until.cold,gdd.base.4.from.plant.until.cold,gdd.base.5.from.plant.until.cold,gdd.base.8.from.plant.until.cold,gdd.base.10.from.plant.until.cold,ndays.growing.season.below.0,ndays.growing.season.below.5,ndays.growing.season.below.10,ndays.growing.season.below.12,ndays.growing.season.below.15,ndays.growing.season.below.17,ndays.below.0,ndays.below.5,ndays.below.10,ndays.below.12,ndays.below.15,ndays.below.17,LGP,LGP.T,LGP.P,LGP.tmin5.tmax100,LGP.T.tmin5.tmax100,LGP.P.tmin5.tmax100,temp.growing.season,precip.growing.season,ndays.since.snowfrac_0.5,ndays.since.snowfrac_0.1,ndays.since.snowfrac_0.05,ndays.since.snowfrac_0,climate.category,misclassified,climate.category.string
1,1,Albania,N,55,NA,NA,Wheat,Winter,Wheat,289,10/16,349,12/15,319,61,121,5/1,181,6/30,151,61,GIEWS,,NA,Wheat.Winter,55,197,40.93614359,19.92074896,1120.28338,-11.04397483,13.29853341,93.9236063,4.623191386,31.52311092,22.22550734,163.8061511,1,7,7,11,9.907872531,163.8061511,0.4234641588,10.88638761,87.25004261,0.167998662,197,6.756057307,350,4.486920589,5.123738052,0.6165764213,1754.963575,966.9635755,773.4478466,391.2631879,238.6144758,4869.060207,3409.060207,3047.544478,2161.359819,1672.727825,NA,NA,106.2115781,14.81327252,0,0,18,137,153,174,190,0,18,138,167,208,237,252,365,252,233,346,252,8.908444546,113.9152339,276,219,-152,-160,1,TRUE,1X
2,2,Albania,N,55,NA,NA,Maize,,Maize,106,4/16,167,6/16,136.5,62,228,8/16,304,10/31,266,77,GIEWS,,NA,Maize,55,129.5,41.14909484,19.96813731,540.6832311,-12.5227271,12.59900674,94.82320896,3.682332451,35.84838593,21.64677206,160.8314724,1,7,7,11,15.69155523,76.18775038,0.5439144035,15.58604679,244.024139,0.1957896781,197,6.959926329,350,0.5591765416,5.238819469,0.6503118435,2555.724795,2035.724795,1905.724795,1515.724795,1255.724795,4613.974357,3156.279807,2828.215926,2000.261356,1535.126257,NA,2629.199423,2400.734745,1789.673591,1422.172811,0,0,0,0,0,13,0,57,148,176,216,247,112,218,259,202,308,259,19.6594215,53.09199347,94,37,31,23,1,FALSE,1
3,4,Albania,N,55,NA,NA,Pulses,,Beans,106,4/16,177,6/26,141.5,72,197,7/16,243,8/31,220,47,GIEWS,,NA,Pulses,55,78.5,40.98188266,19.94654252,281.8430377,-11.5201409,13.01687584,93.81697255,4.271593762,32.8710418,21.98325076,161.8734316,1,7,7,11,16.50499718,69.33761576,0.5681125306,15.73326298,253.2472599,0.1766307405,197,6.768558894,350,0.4814525395,5.157697992,0.6279371041,1588.814649,1272.814649,1193.814649,956.814649,798.814649,4766.339416,3306.339416,2954.086708,2093.502256,1614.442635,NA,NA,2434.024415,1821.777486,1456.814408,0,0,0,0,0,5,0,35,142,171,211,241,112,224,253,218,330,253,20.11157783,45.10247413,99,42,36,28,1,FALSE,1
4,5,Albania,N,55,NA,NA,Other,Winter vegetables,Winter vegetables,289,10/16,340,12/6,314.5,52,45,2/14,105,4/15,75,61,GIEWS,"Cabbage, cauliflower, spinach, onion, garlic",NA,Other.Winter vegetables,55,125.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
5,6,Albania,N,55,NA,NA,Other,Spring field vegetables,Spring vegetables (field planting),106,4/16,137,5/17,121.5,32,229,8/17,288,10/15,258.5,60,GIEWS,"Fruits, tomato",NA,Other.Spring field vegetables,55,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
6,7,Albania,N,55,NA,NA,Other,Spring greenhouses vegetables,Spring vegetables (greenhouse planting),46,2/15,75,3/16,60.5,30,244,9/1,304,10/31,274,61,GIEWS,,NA,Other.Spring greenhouses vegetables,55,213.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
7,8,Albania,N,55,NA,NA,Potatoes,,Potato,46,2/15,106,4/16,76,61,137,5/17,257,9/14,197,121,GIEWS,,NA,Potatoes,55,121,41.17548339,20.09210768,112.724998,-14.22011472,11.59295598,92.54874461,2.533185216,38.78462377,20.69774128,154.1209035,1,7,7,11,6.529899111,97.79474732,0.4162811585,12.91736992,148.7906258,0.2176244045,197,7.011983968,350,1.567136725,5.313986948,0.6733348232,1715.953738,1231.953738,1110.953738,756.5529799,553.888066,4246.944091,2834.046162,2540.830723,1770.849591,1336.070999,NA,2800.152467,2528.756347,0,0,0,0,28,41,62,82,0,82,163,189,229,262,100,203,262,181,284,262,14.18143585,71.67734896,33,-25,-30,-38,1,FALSE,1
8,9,Albania,N,55,NA,NA,Multiple,Forage,Forage,305,11/1,120,4/30,30,181,142,5/22,304,10/31,223,163,GIEWS,,NA,Multiple.Forage,55,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
9,10,Algeria,N,69,NA,NA,Wheat,Winter,Wheat,284,10/11,20,1/20,334.5,102,161,6/10,233,8/21,197,73,GIEWS,,NA,Wheat.Winter,69,227.5,35.73950443,3.232900734,14755.97648,-5.603515612,15.73883429,43.3826252,7.604680192,7.411529127,25.54257159,70.45640708,1,7,8,12,10.27149864,63.47153441,0.6085825325,10.85961127,111.980317,0.03659006831,197,1.695913579,350,1.337901747,5.016544468,0.6237900466,3057.614592,2145.614592,1917.614592,1238.182678,915.0867647,5759.511383,4299.511383,3934.511383,2844.093498,2247.004931,NA,NA,NA,26.56544445,0.3163858206,0,0,97,125,152,167,0,0,96,140,185,213,171,365,171,171,365,171,13.41059031,49.00539041,365,365,365,365,1,TRUE,1X
10,11,Algeria,N,69,NA,NA,Barley,Winter,Barley,284,10/11,20,1/20,334.5,102,162,6/11,202,7/21,182,41,GIEWS,,NA,Barley.Winter,69,212.5,35.59182432,3.545391245,4351.660666,-6.154020238,15.53644562,41.30155292,7.170964388,8.029267142,25.51827351,63.65905954,1,7,8,12,9.850904746,58.23612694,0.6159289404,10.86967852,113.3177813,0.03953454517,197,1.532874406,350,1.227739168,5.188841302,0.6584901983,2640.297906,1788.297906,1575.297906,955.8600794,687.783158,5685.974912,4225.974912,3860.974912,2785.54289,2213.568287,NA,NA,NA,15.35227023,0,0,0,104,127,152,167,0,0,106,145,188,215,60,260,165,165,365,165,12.39576482,48.78333844,365,365,365,365,1,TRUE,1X
