Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2000,2000,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2001,2001,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2002,2002,km,2.1,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2003,2003,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2004,2004,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2005,2005,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2006,2006,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2007,2007,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2008,2008,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2009,2009,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2010,2010,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2011,2011,km,2,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2012,2012,km,1.6,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2013,2013,km,1.6,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2014,2014,km,1.6,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2015,2015,km,1.5,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2016,2016,km,1.5,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2017,2017,km,1.5,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2018,2018,km,1.5,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2019,2019,km,1.5,X,Figure from international organizations
FS,Suite of Food Security Indicators,231,United States of America,6124,Value,21016,Rail lines density (total route in km per 100 square km of land area),2020,2020,km,1.5,X,Figure from international organizations
