Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1990,1990,1000 No,62373.717,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1990,1990,1000 No,190156.233,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1991,1991,1000 No,193017.688,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1991,1991,1000 No,61957.131,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1992,1992,1000 No,61539.241,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1992,1992,1000 No,195915.032,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1993,1993,1000 No,198883.79,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1993,1993,1000 No,61136.396,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1994,1994,1000 No,60759.735,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1994,1994,1000 No,201981.831,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1995,1995,1000 No,205240.402,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1995,1995,1000 No,60418.447,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1996,1996,1000 No,60116.332,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1996,1996,1000 No,208687.092,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1997,1997,1000 No,212289.638,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1997,1997,1000 No,59846.913,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1998,1998,1000 No,59579.37,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1998,1998,1000 No,215963.233,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,1999,1999,1000 No,219581.385,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,1999,1999,1000 No,59280.892,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2000,2000,1000 No,59054.865,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2000,2000,1000 No,222927.913,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2001,2001,1000 No,225698.564,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2001,2001,1000 No,59153.827,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2002,2002,1000 No,59200.835,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2002,2002,1000 No,228306.012,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2003,2003,1000 No,230813.194,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2003,2003,1000 No,59214.43,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2004,2004,1000 No,59219.92,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2004,2004,1000 No,233319.404,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2005,2005,1000 No,235892.407,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2005,2005,1000 No,59237.094,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2006,2006,1000 No,59269.355,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2006,2006,1000 No,238558.001,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2007,2007,1000 No,241285.684,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2007,2007,1000 No,59309.491,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2008,2008,1000 No,59345.012,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2008,2008,1000 No,244029.055,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2009,2009,1000 No,246715.308,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2009,2009,1000 No,59361.054,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2010,2010,1000 No,59344.315,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2010,2010,1000 No,249297.076,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2011,2011,1000 No,251775.947,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2011,2011,1000 No,59275.426,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2012,2012,1000 No,59160.759,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2012,2012,1000 No,254174.664,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2013,2013,1000 No,256527.51,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2013,2013,1000 No,59009.166,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2014,2014,1000 No,58833.036,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2014,2014,1000 No,258885.743,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2015,2015,1000 No,261287.811,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2015,2015,1000 No,58641.351,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2016,2016,1000 No,58436.293,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2016,2016,1000 No,263743.312,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2017,2017,1000 No,266243.516,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2017,2017,1000 No,58215.947,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2018,2018,1000 No,57980.034,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2018,2018,1000 No,268786.714,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2019,2019,1000 No,271365.914,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2019,2019,1000 No,57727.196,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2020,2020,1000 No,57456.395,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2020,2020,1000 No,273975.139,X,Figure from international organizations,
OA,Annual population,231,United States of America,561,Urban population,3010,Population - Est. & Proj.,2021,2021,1000 No,276615.118,X,Figure from international organizations,
OA,Annual population,231,United States of America,551,Rural population,3010,Population - Est. & Proj.,2021,2021,1000 No,57168.078,X,Figure from international organizations,
